ESCOLA,DEPENDENCIA,CATEGORIA,LOCALIZACAO,ENDERECO,CEP,TELEFONE,AREA_VERDE,AUDITORIO,BANHEIRO_PNE,BIBLIOTECA,IN_LABORATORIO_INFORMATICA,PATIO_COBERTO,PARQUE_INFANTIL,QUADRA_ESPORTES,REFEITORIO,RECURSOS_ACESSIBILIDADE,INTERNET_ALUNOS,ALIMENTACAO,ED_INF,ED_FUND,ED_MED,ED_PROF,ED_EJA,ED_ESP
OLHAR EDUCACAO,Privada,Particular,Urbana,RUA URUGUAI - 183 - PONTA AGUDA,89050060,(47) 33063850,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
DUAL INTERNATIONAL SCHOOL,Privada,Particular,Urbana,RUA PANDIA CALOGERAS - 272 - JARDIM BLUMENAU,89010350,(47) 32853586,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Não
INSTITUICAO ESPACO INFANTIL EUREKA,Privada,Particular,Urbana,RUA SETE DE ABRIL - 1 - ITOUPAVA NORTE,89050260,(47) 992123984,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Sim
CENTRO DE EDUCACAO INFANTIL ELFRIDA FISCHER VIEIRA,Municipal,Pública,Urbana,RUA JARDIM GERMANICO - 555 - ITOUPAVAZINHA,89066321,(47) 996830133,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
ESCOLA INFANTIL SER BRINCANTE,Privada,Particular,Urbana,RUA JOSE DEEKE - 1744 - ESCOLA AGRICOLA,89031401,(47) 32377372,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
CENTRO EDUCACIONAL ALEM DO ARCO-IRIS,Privada,Particular,Urbana,RUA GUSTAVO ZIMMERMANN - 9279 - ITOUPAVA CENTRAL,89063003,(47) 33372907,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
EDUCARE CENTRO DE EDUCACAO INFANTIL,Privada,Particular,Urbana,RUA DOUTOR PEDRO ZIMMERMANN - 6209 - ITOUPAVA CENTRAL,89068000,(47) 997740930,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim
CENTRO DE EDUCACAO INFANTIL SABERATIVO,Privada,Particular,Urbana,RUA DOUTOR PAULO ALDINGER - 139 - ESCOLA AGRICOLA,89037690,(47) 33282150,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim
DOCE INFANCIA EDUCACAO INFANTIL,Privada,Particular,Urbana,RUA JOAO EHRAT - 84 - GARCIA,89020090,(47) 991049716,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim
ESCOLA INFANTIL SEMEAR AMOR,Privada,Particular,Urbana,RUA GENERAL OSORIO - 400 - VELHA,89041000,(47) 996273347,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim
CENTRO EDUCACIONAL RECRIARE,Privada,Particular,Urbana,RUA GEORGE FRIDRICH MORDHORST - 47 - ITOUPAVA CENTRAL,89062220,(47) 999838134,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Sim
INSTITUTO CAD,Privada,Particular,Urbana,RUA ITAJAI -  - VORSTADT,89015205,(47) 999152332,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Não
ESCOLA POLITECNICA DE INOVACAO E CONHECIMENTO APLICADO,Privada,Particular,Urbana,RUA ELSBETH FEDDERSEN - 72 - SALTO DO NORTE,89065430,(47) 33805200,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não
CARINHO DE MAE,Privada,Particular,Urbana,RUA ENGENHEIRO PAUL WERNER - 1248 - ITOUPAVA SECA,89030101,(47) 32320914,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Não,Sim
CRECHE PEQUENA SEREIA LTDA,Privada,Particular,Urbana,RUA ALBERTO KOFFKE - 208 - CENTRO,89012440,(47) 33260353,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Sim
SOCIEDADE BENEFICENTE ARNOLD HADLICH,Privada,Filantrópica,Urbana,RUA FRANZ HADLICH - 278 - VELHA CENTRAL,89040180,(47) 33285592,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
ASSOCIACAO ASSISTENCIAL LAR BETANIA UNIDADE LAR BETHEL,Privada,Filantrópica,Urbana,RUA GERMANO KRATZ NETO - 158 - VELHA GRANDE,89045640,(47) 33301327,Não,Não,Não,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
YELLOW TREE ESCOLA INFANTIL LTDA ME,Privada,Particular,Urbana,RUA PARA - 105 - ITOUPAVA SECA,89030300,(47) 30190099,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Não,Sim
ESCOLA DE EDUCACAO INFANTIL ALGODAO DOCE,Privada,Particular,Urbana,RUA HERMANN TRIBESS - 105 - TRIBESS,89055400,(47) 33392735,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim
CEI CARINHA DE ANJO,Privada,Particular,Urbana,RUA ANGELO XENOFONTES LENZI - 279 - VELHA,89045070,(47) 30421682,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
CRECHE RAIO DE LUZ,Privada,Particular,Urbana,RUA HERMINIO SERGIO REZENDE - 156 - FORTALEZA,89057228,(47) 33385431,Sim,Não,Não,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
CENTRO EDUC MOTIVA ACAO INFANTIL,Privada,Particular,Urbana,RUA SAO FRANCISCO - 25 - VILA NOVA,89035220,(47) 33229172,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
SPAZIO BAMBINI CENTRO DE DESENV INFANTIL,Privada,Particular,Urbana,RUA CAMBORIU - 163 - VICTOR KONDER,89012160,(47) 30353991,Sim,Não,Não,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim
LUMIERE ESPACO EDUCACIONAL INFANTIL,Privada,Particular,Urbana,RUA NATAL - 39 - JARDIM BLUMENAU,89010460,(47) 33222100,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
FACULDADE DE TECNOLOGIA SENAC BLUMENAU,Privada,Particular,Urbana,AVENIDA BRASIL - 610 - PONTA AGUDA,89050000,(47) 30359999,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim
CEI LEONARDO LAURINDO TERRES,Municipal,Pública,Urbana,RUA FREDERICO JENSEN - 2507 - ITOUPAVAZINHA,89066301,(47) 33816542,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
CEI PROF JOAO BERTOLDO PETRY,Municipal,Pública,Urbana,RUA JOEL BERNARDES - 56 - VELHA CENTRAL,89046023,(47) 33817975,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
COOEPERATIVA DE EDUCACAO DE PROFESSORES E ESPECIALISTAS,Privada,Particular,Urbana,RUA DOIS DE SETEMBRO - 3048 - ITOUPAVA NORTE,89052000,(47) 33384002,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Sim
CEI FRIEDA ZADROZNY,Municipal,Pública,Urbana,RUA DA GLORIA - 459 - GLORIA,89025300,(47) 33816392,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI ARNO BERNARDES,Municipal,Pública,Urbana,RUA PAULA HOELTGEBAUM - 88 - FORTALEZA,89057160,(47) 33816547,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI PROFESSORA ERNA ANNA TRAPP,Municipal,Pública,Rural,RUA ERWIN MANZKE - 5517 - VILA ITOUPAVA,89075505,(47) 33816497,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
EBM DUQUE DE CAXIAS,Municipal,Pública,Urbana,RUA DOUTOR PEDRO ZIMMERMANN - 12406 - ITOUPAVA CENTRAL,89069005,(47) 33816381,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
EIM ALVES RAMOS,Municipal,Pública,Rural,RUA ERICH MEYER - 4599 - ITOUPAVA CENTRAL,89075200,(47) 33816540,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EIM DR BLUMENAU,Municipal,Pública,Rural,RUA WILHELM KNAESEL SENIOR - 3000 - ITOUPAVA CENTRAL,89063180,(47) 33816337,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EBM FELIPE SCHMIDT,Municipal,Pública,Urbana,RUA FREDERICO JENSEN - 3139 - ITOUPAVAZINHA,89066377,(47) 33816688,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
ESCOLA MUNICIPAL BILINGUE ERICH KLABUNDE,Municipal,Pública,Rural,RUA BRACO DO SUL - 2838 - VILA ITOUPAVA,89075605,(47) 33816343,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim
EEB ERWIN RADTKE,Estadual,Pública,Rural,RUA ERWIN MANZKE - 13375 - VILA ITOUPAVA,89075505,(47) 33788529,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
EM FREDERICO SIEVERT,Municipal,Pública,Rural,RUA VIENA - 2290 - VILA ITOUPAVA,89075390,(47) 33816559,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EM CARLOS MANSKE,Municipal,Pública,Rural,RUA ARTUR HERTEL - 4203 - VILA ITOUPAVA,89075570,(47) 33816401,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EEB CEL PEDRO CHRISTIANO FEDDERSEN,Estadual,Pública,Urbana,R HENRIQUE CONRAD - 145 - VILA ITOUPAVA,89075350,(47) 33788369,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim
CEI JOHANNA CONRAD,Municipal,Pública,Urbana,RUA WOLFGANG BLANK - 12 - VILA ITOUPAVA,89075450,(47) 33816499,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
EIM WILLY MULLER,Municipal,Pública,Rural,RUA AUGUSTO BAUER - 1294 - VILA ITOUPAVA,89075300,(47) 33816339,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
CRECHE E JARDIM MENINOS E MENINAS,Privada,Particular,Urbana,RUA DOIS DE SETEMBRO - 2961 - ITOUPAVA NORTE,89052002,(47) 30353333,Sim,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Sim
CENTRO DE EDUCACAO INFANTIL PEQUENAS ESTRELAS,Privada,Particular,Urbana,RUA WALTER KNAESEL - 241 - ITOUPAVA CENTRAL,89063060,(47) 33371335,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não
EEB PROF IZOLETE ELIZA GOUVEIA MULLER,Estadual,Pública,Urbana,ADRIANO SCHAEFER - 77 - VALPARAISO,89023620,(47) 33788378,Sim,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
EBM HENRIQUE ALFARTH,Municipal,Pública,Urbana,RUA RUI BARBOSA - 1616 - PROGRESSO,89026602,(47) 33816359,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EEB PE JOSE MAURICIO,Estadual,Pública,Urbana,RUA PROGRESSO - 2053 - PROGRESSO,89026201,(47) 33788680,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Sim
EIM CAPITAO EUCLIDES DE CASTRO,Municipal,Pública,Urbana,RUA JORDAO - 2269 - PROGRESSO,89027710,(47) 33816171,Sim,Não,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
CEI PROF RAQUEL WISINTAINER SOARES,Municipal,Pública,Urbana,RUA SANTA MARIA - 2314 - PROGRESSO,89027200,(47) 33816558,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
EEB PROF NILO BORGHESI,Estadual,Pública,Urbana,RUA JORDAO - 357 - PROGRESSO,89027710,(47) 33788372,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
CEI BRUNO SCHREIBER,Municipal,Pública,Urbana,RUA ERNESTINE EHRHARDT - 157 - PROGRESSO,89027650,(47) 33816536,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI VEREADOR EWALDO MORITZ,Municipal,Pública,Urbana,RUA SANTA TEREZINHA - 295 - PROGRESSO,89026800,(47) 33816517,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI LUIZ VARGAS,Municipal,Pública,Urbana,RUA AUGUST MULLER - 159 - GARCIA,89022060,(47) 33816515,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI DARIO JOAO VIEIRA,Municipal,Pública,Urbana,RUA INDEPENDENCIA - 136 - VALPARAISO,89023400,(47) 33816546,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
ESCOLA INFANTIL DOCE LAR,Privada,Particular,Urbana,RUA ENGENHEIRO ODEBRECHT - 130 - GARCIA,89021200,(47) 984257311,Sim,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim
CEI PAULO TALLMANN,Municipal,Pública,Urbana,RUA BARAO DE CAPANEMA - 63 - GARCIA,89022440,(47) 33816520,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEI PROFESSOR EMILIANO STOLF,Municipal,Pública,Urbana,RUA DA GLORIA - 754 - GLORIA,89025303,(47) 33816527,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
