ESCOLA,DEPENDENCIA,CATEGORIA,LOCALIZACAO,ENDERECO,CEP,TELEFONE,AREA_VERDE,AUDITORIO,BANHEIRO_PNE,BIBLIOTECA,IN_LABORATORIO_INFORMATICA,PATIO_COBERTO,PARQUE_INFANTIL,QUADRA_ESPORTES,REFEITORIO,RECURSOS_ACESSIBILIDADE,INTERNET_ALUNOS,ALIMENTACAO,ED_INF,ED_FUND,ED_MED,ED_PROF,ED_EJA,ED_ESP
EBM PEDRO I,Municipal,Pública,Urbana,RUA DOUTOR PEDRO ZIMMERMANN - 2461 - ITOUPAVAZINHA,89066000,(47) 33816242,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EBM PROF OSCAR UNBEHAUN,Municipal,Pública,Urbana,RUA GAROPABA - 213 - AGUA VERDE,89042110,(47) 33816362,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
EBM QUINTINO BOCAIUVA,Municipal,Pública,Urbana,RUA WALTER WACHOLZ - 157 - TESTO SALTO,89074130,(47) 33816213,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EBM BILINGUE PROFESSORA NORMA DIGNART HUBER,Municipal,Pública,Urbana,RUA AQUIDABA - 77 - ESCOLA AGRICOLA,89037740,(47) 33816532,Sim,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EBMB PROF RODOLFO HOLLENWEGER,Municipal,Pública,Urbana,RUA PROFESSOR HERMANN LANGE - 2230 - FIDELIS,89060300,(47) 33816358,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EBM VISCONDE DE TAUNAY,Municipal,Pública,Urbana,RUA FRANZ VOLLES - 1930 - ITOUPAVA CENTRAL,89066100,(47) 33816118,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EBMB PROFESSORA NEMESIA MARGARIDA,Municipal,Pública,Urbana,RUA OSCAR JOAO RAUSCH - 100 - BADENFURT,89072080,(47) 33816187,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EEB GOV CELSO RAMOS,Estadual,Pública,Urbana,GLORIA - 888 - GLORIA,89025300,(47) 33788228,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Sim
ESC BARAO DO RIO BRANCO,Privada,Confessional,Urbana,RUA NEREU RAMOS - 220 - JARDIM BLUMENAU,89010401,(47) 33226133,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Sim
EBM PROFESSORA ZULMA SOUZA DA SILVA,Municipal,Pública,Urbana,RUA FLORANIA - 464 - VELHA CENTRAL,89040190,(47) 33816241,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
EBM GAL LUCIO ESTEVES,Municipal,Pública,Urbana,RUA BENJAMIN CONSTANT - 630 - ESCOLA AGRICOLA,89037500,(47) 33817444,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EBM PROFESSORA ALICE THIELE,Municipal,Pública,Urbana,RUA JOAO SCHETZ - 273 - GARCIA,89020521,(47) 33816875,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EBM ALBERTO STEIN,Municipal,Pública,Urbana,RUA GENERAL OSORIO - 1785 - VELHA,89041003,(47) 33816353,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
EBM ANITA GARIBALDI,Municipal,Pública,Urbana,RUA DOUTOR PEDRO ZIMMERMANN - 5900 - ITOUPAVA CENTRAL,89068002,(47) 33817404,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EBM FRANCISCO LANSER,Municipal,Pública,Urbana,RUA ALFREDO LANSER - 133 - TRIBESS,89057620,(47) 33816340,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EEB HERCILIO DEEKE,Estadual,Pública,Urbana,JOSE REUTER - 581 - VELHA CENTRAL,89046000,(47) 33788390,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim
EBM LAURO MULLER,Municipal,Pública,Urbana,RUA HEINRICH HEMMER - 2876 - BADENFURT,89070000,(47) 33816900,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EBM PEDRO II,Municipal,Pública,Urbana,RUA HELMUTH GOLL - 579 - PROGRESSO,89027410,(47) 33365628,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EBM BILINGUE PROFESSOR FERNANDO OSTERMANN,Municipal,Pública,Urbana,RUA OTTO STUTZER - 43 - BOA VISTA,89012370,(47) 33816244,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
EBM PROF ADELAIDE STARKE,Municipal,Pública,Urbana,RUA SAO BERNARDO - 700 - ITOUPAVA NORTE,89052100,(47) 33817109,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim
EEB SANTOS DUMONT,Estadual,Pública,Urbana,RUA AMAZONAS - 2771 - GARCIA,89021001,(47) 33788686,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim
EBM VIDAL RAMOS,Municipal,Pública,Urbana,RUA ANTONIO TREIS - 140 - VORSTADT,89015400,(47) 33816594,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EBM BILINGUE GUSTAVO RICHARD,Municipal,Pública,Urbana,RUA HENRIQUE REIF - 477 - NOVA ESPERANCA,89051300,(47) 33816286,Sim,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EBM TIRADENTES E PROFESSORA JULIA STRZALKOWSKA,Municipal,Pública,Urbana,RUA CARL HEINZ BUECHLER - 171 - GARCIA,89021120,(47) 33817258,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EBM CONSELHEIRO MAFRA,Municipal,Pública,Urbana,RUA FRANZ MUELLER - 2113 - VELHA GRANDE,89045500,(47) 33816545,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EBM BILINGUE PASTOR FAULHABER,Municipal,Pública,Urbana,RUA ALWIN SCHRADER - 966 - RIBEIRAO FRESCO,89015125,(47) 33816129,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
EBM PROFESSORA HELENA MARTHA NATALIA WINCKLER,Municipal,Pública,Urbana,RUA JOAO BISEWSKI - 100 - VELHA,89036810,(47) 33816554,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
CENTRO DE ED AMIGUINHO FELIZ,Privada,Filantrópica,Urbana,RUA BENJAMIN CONSTANT - 1552 - ESCOLA AGRICOLA,89037500,(47) 33271426,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim
CEDUP HERMANN HERING,Estadual,Pública,Urbana,RUA BENJAMIN CONSTANT - 857 - ESCOLA AGRICOLA,89037501,(47) 33788610,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
EEB ADOLPHO KONDER,Estadual,Pública,Urbana,RUA UBERABA - 99 - VELHA,89036460,(47) 33788497,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim
EEB PROF LOTHAR KRIECK,Estadual,Pública,Urbana,R GUSTAVO POEPPER - 40 - AGUA VERDE,89037330,(47) 33788671,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Sim
EEB VICTOR HERING,Estadual,Pública,Urbana,RUA ANTONIO CANDIDO DE FIGUEIREDO - 399 - VILA NOVA,89035310,(47) 33788496,Não,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
OSC SAO ROQUE CENTRO DE EDUCACAO INFANTO JUVENIL I SAO JOAO,Privada,Filantrópica,Urbana,RUA SAO JOAO - 700 - ITOUPAVA NORTE,89052300,(47) 33247900,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não
CEI NAZARE,Municipal,Pública,Urbana,RUA DOUTOR PEDRO ZIMMERMANN - 10139 - ITOUPAVA CENTRAL,89069001,(47) 33816491,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
ASSOCIACAO ASSISTENCIAL LAR BETANIA,Privada,Filantrópica,Urbana,RUA KONRAD ADENAUER - 90 - PONTA AGUDA,89050630,(47) 33222207,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
EEB HERMANN HAMANN,Estadual,Pública,Urbana,AUGUST REINHOLD - 350 - NOVA ESPERANCA,89051660,(47) 33788389,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
EM ALWINO DOROW,Municipal,Pública,Urbana,RUA THEODORO PASOLD - 73 - FORTALEZA ALTA,89060078,(47) 33816390,Não,Não,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
EEB PROF JOAO WIDEMANN,Estadual,Pública,Urbana,QUATRO DE FEVEREIRO - 64 - ITOUPAVA NORTE,89052500,(47) 33788679,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim
EEB EMILIO BAUMGART,Estadual,Pública,Urbana,RUA DR PEDRO ZIMMERMANN - 9611 - ITOUPAVA CENTRAL,89069001,(47) 33788366,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Não,Sim
COLEGIO BOM JESUS SANTO ANTONIO,Privada,Particular,Urbana,RUA SANTO ANTONIO - SN - CENTRO,89010110,(47) 21023500,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Sim
COLEGIO SAGRADA FAMILIA,Privada,Filantrópica,Urbana,RUA SETE DE SETEMBRO - 915 - CENTRO,89010203,(47) 33260232,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Sim
EEB PEDRO II,Estadual,Pública,Urbana,ALAMEDA RIO BRANCO - 590 - JARDIM BLUMENAU,89010300,(47) 33788704,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim
EEB LUIZ DELFINO,Estadual,Pública,Urbana,RUA SAO JOSE - 222 - CENTRO,89010220,(47) 33788375,Não,Não,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim
